key	label	scheme	lat	long
rus	Russia	ghio	58.65	70.117
fra	France	ghio	48.817	2.483
est	Estonia	ghio	59.0	26.0
lith	Lithuania	ghio	55.2	24.0
chi	Chile	ghio	-33.0	-71.0
aus	Australia	ghio	-28.0	137.0
por	Portugal	ghio	38.7	-9.183
irq	Iraq	ghio	33.0	43.0
ro	Romania	ghio	46.0	25.0
hu	Hungary	ghio	47.0	19.0
neth	Netherlands	ghio	52.367	4.883
col	Columbia	ghio	4.0	-73.25
jap	Japan	ghio	35.683	139.767
yug	Yugoslavia	ghio	44.821	20.462
dom	Dominican Republic	ghio	18.8	-70.2
ire	Ireland	ghio	53.0	-8.0
fin	Finland	ghio	65.0	27.0
usa	United States of America	ghio	39.828	-98.579
czesl	Czechoslovakia	ghio	50.083	14.417
boh	Bohemia and Moravia (Protectorate, 1939-1945)	ghio	50.083	14.467
cub	Cuba	ghio	22.0	-79.5
den	Denmark	ghio	56.0	10.0
swe	Sweden	ghio	61.0	15.0
ira	Iran	ghio	32.0	53.0
oth	other	ghio		
egy	Egypt	ghio	30.05	31.217
it	Italy	ghio	42.5	12.5
in	India	ghio	22.8	83.0
nz	New Zealand	ghio	-41.2	174.0
gre	Greece	ghio	38.5	23.0
lux	Luxembourg	ghio	49.77	6.13
sa	South Africa	ghio	-29.0	24.0
bel	Belgium	ghio	50.641	4.668
arg	Argentina	ghio	-34.0	-64.0
pol	Poland	ghio	52.0	19.0
pan	Panama	ghio	8.617	-80.367
au	Austria	ghio	48.0	14.0
mex	Mexico	ghio	23.0	-102.0
ven	Venezuela	ghio	8.0	-67.0
nor	Norway	ghio	65.0	11.0
ice	Iceland	ghio	65.0	-19.0
can	Canada	ghio	56.0	-109.0
bra	Brazil	ghio	-14.0	-53.0
tur	Turkey	ghio	39.0	36.0
nic	Nicaragua	ghio	13.0	-85.0
cos	Costa Rica	ghio	10.0	-84.0
bul	Bulgaria	ghio	42.75	25.5
sp	Spain	ghio	40.2	-3.5
gb	Great Britain	ghio	54.6	-2.0
dz	Danzig	ghio	54.35	18.667
lat	Latvia	ghio	57.0	25.0
ahm	Austro-Hungarian Monarchy	ghio	48.2	16.35
otto	Ottoman Empire	ghio	41.0	29.0
uru	Uruguay	ghio	-33.0	-56.0
saar	Saar Territory	ghio	49.383	6.833
pal	Palestine	ghio	31.625	35.145
su	Soviet Union	ghio	65.0	90.0
mor	Morocco	ghio	32.0	-6.0
ecu	Ecuador	ghio	-1.0	-78.0
gua	Guatemala	ghio	15.5	-90.25
zim	Zimbabwe	ghio	-19.0	30.0
eng	England	ghio	53.0	-1.0
chn	China	ghio	35.845	103.452
ser	Serbia	ghio	43.95	20.933
livo	Livonia	ghio	57.862	25.967
slov	Slovakia	ghio	49.0	20.0
swi	Switzerland	ghio	46.799	8.232
inchn	Indochina	ghio	16.0	102.0
ger	Germany	ghio	51.0	10.0
dei	Dutch East Indies	ghio	-2.0	118.0
per	Peru	ghio	-9.4	-76.0
pue	Puerto Rico	ghioÂ´	18.25	-66.5
